TEXT	A1	A2	GOLD
– Carneade!	SURPRISE	SURPRISE	SURPRISE
Chi era costui? – ruminava tra sé don Abbondio seduto sul suo seggiolone, in una stanza del piano superiore, con un libricciolo aperto davanti, quando Perpetua entrò a portargli l'imbasciata.	NEUTRAL	NEUTRAL	NEUTRAL
– Carneade! questo nome mi par bene d'averlo letto o sentito; doveva essere un uomo di studio, un letteratone del tempo antico: è un nome di quelli; ma chi diavolo era costui? –	ANGER,NEUTRAL	ANGER,NEUTRAL	ANGER,NEUTRAL
Tanto il pover'uomo era lontano da preveder che burrasca gli si addensasse sul capo!	ANTICIPATION	ANTICIPATION	ANTICIPATION
Bisogna sapere che don Abbondio si dilettava di leggere un pochino ogni giorno; e un curato suo vicino, che aveva un po'di libreria, gli prestava un libro dopo l'altro, il primo che gli veniva alle mani.	NEUTRAL	NEUTRAL	NEUTRAL
Quello su cui meditava in quel momento don Abbondio, convalescente della febbre dello spavento, anzi più guarito (quanto alla febbre) che non volesse lasciar credere, era un panegirico in onore di san Carlo, detto con molta enfasi, e udito con molta ammirazione nel duomo di Milano, due anni prima.	NEUTRAL	NEUTRAL	NEUTRAL
Il santo v'era paragonato, per l'amore allo studio, ad Archimede; e fin qui don Abbondio non trovava inciampo; perché Archimede ne ha fatte di così curiose, ha fatto dir tanto di sé, che, per saperne qualche cosa, non c'è bisogno d'un'erudizione molto vasta.	NEUTRAL	NEUTRAL	NEUTRAL
Ma, dopo Archimede, l'oratore chiamava a paragone anche Carneade: e lì il lettore era rimasto arrenato.	NEUTRAL	NEUTRAL	NEUTRAL
In quel momento entrò Perpetua ad annunziar la visita di Tonio.	NEUTRAL	NEUTRAL	NEUTRAL
«A quest'ora?» disse anche don Abbondio, com'era naturale.	SURPRISE	SURPRISE	SURPRISE
«Cosa vuole?	NEUTRAL	NEUTRAL	NEUTRAL
Non hanno discrezione: ma se non lo piglia al volo…»	ANGER	ANGER	ANGER
«Già: se non lo piglio ora, chi sa quando lo potrò pigliare!	ANGER	ANGER	ANGER
Fatelo venire… 	NEUTRAL	NEUTRAL	NEUTRAL
Ehi! ehi! siete poi ben sicura che sia proprio lui?»	FEAR	FEAR	FEAR
«Diavolo!» rispose Perpetua, e scese; aprì l'uscio, e disse: «dove siete?»	NEUTRAL,TRUST	NEUTRAL,TRUST	NEUTRAL,TRUST
Tonio si fece vedere; e, nello stesso tempo, venne avanti anche Agnese, e salutò Perpetua per nome.	NEUTRAL	NEUTRAL	NEUTRAL
«Buona sera, Agnese,» disse Perpetua: «di dove si viene, a quest'ora?»	NEUTRAL,SURPRISE	NEUTRAL,SURPRISE	NEUTRAL,SURPRISE
«Vengo da…» e nominò un paesetto vicino.	NEUTRAL	NEUTRAL	NEUTRAL
«E se sapeste…» continuò: «mi son fermata di più appunto in grazia vostra.»	NEUTRAL	NEUTRAL	NEUTRAL
«Oh perché?» domandò Perpetua; e voltandosi a' due fratelli, «entrate,» disse, «che vengo anch'io.»	NEUTRAL,SURPRISE	NEUTRAL,SURPRISE	NEUTRAL,SURPRISE
«Perché,» rispose Agnese, «una donna di quelle che non sanno le cose, e voglion parlare… credereste? s'ostinava a dire che voi non vi siete maritata con Beppe Suolavecchia, né con Anselmo Lunghigna, perché non v'hanno voluta.	ANGER	ANGER	ANGER
Io sostenevo che siete stata voi che gli avete rifiutati, l'uno e l'altro…»	NEUTRAL	NEUTRAL	NEUTRAL
«Sicuro.	TRUST	TRUST	TRUST
Oh la bugiarda! la bugiardona!	ANGER	ANGER	ANGER
Chi è costei?»	ANGER,NEUTRAL	ANGER,NEUTRAL	ANGER,NEUTRAL
«Non me lo domandate, che non mi piace metter male.»	NEUTRAL	NEUTRAL	NEUTRAL
«Me lo direte, me l'avete a dire: oh la bugiarda!»	ANGER	ANGER	ANGER
«Basta… ma non potete credere quanto mi sia dispiaciuto di non saper bene tutta la storia, per confonder colei.»	SADNESS	SADNESS	SADNESS
«Guardate se si può inventare, a questo modo!» esclamò di nuovo Perpetua; e riprese subito: «in quanto a Beppe, tutti sanno, e hanno potuto vedere…	ANGER	ANGER,SURPRISE	ANGER
Ehi, Tonio! accostate l'uscio, e salite pure, che vengo.»	NEUTRAL	NEUTRAL	NEUTRAL
Tonio, di dentro, rispose di sì; e Perpetua continuò la sua narrazione appassionata.	NEUTRAL	NEUTRAL	NEUTRAL
In faccia all'uscio di don Abbondio, s'apriva, tra due casipole, una stradetta, che, finite quelle, voltava in un campo.	NEUTRAL	NEUTRAL	NEUTRAL
Agnese vi s'avviò, come se volesse tirarsi alquanto in disparte, per parlar più liberamente; e Perpetua dietro.	NEUTRAL	NEUTRAL	NEUTRAL
Quand'ebbero voltato, e furono in luogo, donde non si poteva più veder ciò che accadesse davanti alla casa di don Abbondio, Agnese tossì forte.	NEUTRAL	NEUTRAL	NEUTRAL
Era il segnale: Renzo lo sentì, fece coraggio a Lucia, con una stretta di braccio; e tutt'e due, in punta di piedi, vennero avanti, rasentando il muro, zitti zitti; arrivarono all'uscio, lo spinsero adagino adagino; cheti e chinati, entraron nell'andito, dov'erano i due fratelli, ad aspettarli.	ANTICIPATION,FEAR	ANTICIPATION	ANTICIPATION,FEAR
Renzo accostò di nuovo l'uscio pian piano; e tutt'e quattro su per le scale, non facendo rumore neppur per uno.	NEUTRAL	ANTICIPATION	ANTICIPATION
